"Time Stamp","Time Zone","Name","PTID","Load"
"02/11/2026 00:00:00","EST","CAPITL",61757,1491.9739
"02/11/2026 00:00:00","EST","CENTRL",61754,1871.377
"02/11/2026 00:00:00","EST","DUNWOD",61760,658.6837
"02/11/2026 00:00:00","EST","GENESE",61753,1078.227
"02/11/2026 00:00:00","EST","HUD VL",61758,1234.7306
"02/11/2026 00:00:00","EST","LONGIL",61762,2287.5251
"02/11/2026 00:00:00","EST","MHK VL",61756,962.418
"02/11/2026 00:00:00","EST","MILLWD",61759,308.7025
"02/11/2026 00:00:00","EST","N.Y.C.",61761,5637.216
"02/11/2026 00:00:00","EST","NORTH",61755,705.0754
"02/11/2026 00:00:00","EST","WEST",61752,1600.3088
"02/11/2026 00:05:00","EST","CAPITL",61757,1478.3794
"02/11/2026 00:05:00","EST","CENTRL",61754,1848.5134
"02/11/2026 00:05:00","EST","DUNWOD",61760,653.2628
"02/11/2026 00:05:00","EST","GENESE",61753,1075.2627
"02/11/2026 00:05:00","EST","HUD VL",61758,1247.671
"02/11/2026 00:05:00","EST","LONGIL",61762,2256.3164
"02/11/2026 00:05:00","EST","MHK VL",61756,958.3337
"02/11/2026 00:05:00","EST","MILLWD",61759,307.4669
"02/11/2026 00:05:00","EST","N.Y.C.",61761,5621.677
"02/11/2026 00:05:00","EST","NORTH",61755,709.2532
"02/11/2026 00:05:00","EST","WEST",61752,1606.5073
"02/11/2026 00:10:00","EST","CAPITL",61757,1481.4888
"02/11/2026 00:10:00","EST","CENTRL",61754,1835.4758
"02/11/2026 00:10:00","EST","DUNWOD",61760,657.9002
"02/11/2026 00:10:00","EST","GENESE",61753,1074.0474
"02/11/2026 00:10:00","EST","HUD VL",61758,1261.9344
"02/11/2026 00:10:00","EST","LONGIL",61762,2250.5112
"02/11/2026 00:10:00","EST","MHK VL",61756,958.1051
"02/11/2026 00:10:00","EST","MILLWD",61759,289.9126
"02/11/2026 00:10:00","EST","N.Y.C.",61761,5625.132
"02/11/2026 00:10:00","EST","NORTH",61755,665.2191
"02/11/2026 00:10:00","EST","WEST",61752,1610.3368
"02/11/2026 00:15:00","EST","CAPITL",61757,1478.9658
"02/11/2026 00:15:00","EST","CENTRL",61754,1846.0054
"02/11/2026 00:15:00","EST","DUNWOD",61760,674.7493
"02/11/2026 00:15:00","EST","GENESE",61753,1079.3032
"02/11/2026 00:15:00","EST","HUD VL",61758,1244.2485
"02/11/2026 00:15:00","EST","LONGIL",61762,2244.9966
"02/11/2026 00:15:00","EST","MHK VL",61756,964.6287
"02/11/2026 00:15:00","EST","MILLWD",61759,299.3955
"02/11/2026 00:15:00","EST","N.Y.C.",61761,5574.303
"02/11/2026 00:15:00","EST","NORTH",61755,662.6563
"02/11/2026 00:15:00","EST","WEST",61752,1601.4415
"02/11/2026 00:20:00","EST","CAPITL",61757,1477.5587
"02/11/2026 00:20:00","EST","CENTRL",61754,1840.644
"02/11/2026 00:20:00","EST","DUNWOD",61760,663.4484
"02/11/2026 00:20:00","EST","GENESE",61753,1071.9379
"02/11/2026 00:20:00","EST","HUD VL",61758,1244.1385
"02/11/2026 00:20:00","EST","LONGIL",61762,2240.7827
"02/11/2026 00:20:00","EST","MHK VL",61756,965.9162
"02/11/2026 00:20:00","EST","MILLWD",61759,290.6752
"02/11/2026 00:20:00","EST","N.Y.C.",61761,5541.408
"02/11/2026 00:20:00","EST","NORTH",61755,672.756
"02/11/2026 00:20:00","EST","WEST",61752,1618.7476
"02/11/2026 00:25:00","EST","CAPITL",61757,1472.9817
"02/11/2026 00:25:00","EST","CENTRL",61754,1805.79
"02/11/2026 00:25:00","EST","DUNWOD",61760,664.1201
"02/11/2026 00:25:00","EST","GENESE",61753,1062.3907
"02/11/2026 00:25:00","EST","HUD VL",61758,1226.465
"02/11/2026 00:25:00","EST","LONGIL",61762,2247.0405
"02/11/2026 00:25:00","EST","MHK VL",61756,956.1202
"02/11/2026 00:25:00","EST","MILLWD",61759,295.4695
"02/11/2026 00:25:00","EST","N.Y.C.",61761,5541.708
"02/11/2026 00:25:00","EST","NORTH",61755,671.4745
"02/11/2026 00:25:00","EST","WEST",61752,1608.3147
"02/11/2026 00:30:00","EST","CAPITL",61757,1450.7139
"02/11/2026 00:30:00","EST","CENTRL",61754,1818.1191
"02/11/2026 00:30:00","EST","DUNWOD",61760,659.2496
"02/11/2026 00:30:00","EST","GENESE",61753,1072.1229
"02/11/2026 00:30:00","EST","HUD VL",61758,1214.587
"02/11/2026 00:30:00","EST","LONGIL",61762,2227.5837
"02/11/2026 00:30:00","EST","MHK VL",61756,958.6777
"02/11/2026 00:30:00","EST","MILLWD",61759,296.2388
"02/11/2026 00:30:00","EST","N.Y.C.",61761,5503.316
"02/11/2026 00:30:00","EST","NORTH",61755,675.4117
"02/11/2026 00:30:00","EST","WEST",61752,1591.886
"02/11/2026 00:35:00","EST","CAPITL",61757,1463.7847
"02/11/2026 00:35:00","EST","CENTRL",61754,1818.6514
"02/11/2026 00:35:00","EST","DUNWOD",61760,665.3072
"02/11/2026 00:35:00","EST","GENESE",61753,1055.6378
"02/11/2026 00:35:00","EST","HUD VL",61758,1198.2185
"02/11/2026 00:35:00","EST","LONGIL",61762,2211.8909
"02/11/2026 00:35:00","EST","MHK VL",61756,961.6187
"02/11/2026 00:35:00","EST","MILLWD",61759,318.3698
"02/11/2026 00:35:00","EST","N.Y.C.",61761,5484.022
"02/11/2026 00:35:00","EST","NORTH",61755,659.3574
"02/11/2026 00:35:00","EST","WEST",61752,1589.9469
"02/11/2026 00:40:00","EST","CAPITL",61757,1473.5172
"02/11/2026 00:40:00","EST","CENTRL",61754,1813.7246
"02/11/2026 00:40:00","EST","DUNWOD",61760,643.5693
"02/11/2026 00:40:00","EST","GENESE",61753,1057.98
"02/11/2026 00:40:00","EST","HUD VL",61758,1203.2487
"02/11/2026 00:40:00","EST","LONGIL",61762,2220.9912
"02/11/2026 00:40:00","EST","MHK VL",61756,934.517
"02/11/2026 00:40:00","EST","MILLWD",61759,311.2891
"02/11/2026 00:40:00","EST","N.Y.C.",61761,5465.0244
"02/11/2026 00:40:00","EST","NORTH",61755,687.5136
"02/11/2026 00:40:00","EST","WEST",61752,1587.2233
"02/11/2026 00:45:00","EST","CAPITL",61757,1453.739
"02/11/2026 00:45:00","EST","CENTRL",61754,1803.2559
"02/11/2026 00:45:00","EST","DUNWOD",61760,650.4977
"02/11/2026 00:45:00","EST","GENESE",61753,1062.9688
"02/11/2026 00:45:00","EST","HUD VL",61758,1194.6818
"02/11/2026 00:45:00","EST","LONGIL",61762,2211.2056
"02/11/2026 00:45:00","EST","MHK VL",61756,944.0709
"02/11/2026 00:45:00","EST","MILLWD",61759,311.9167
"02/11/2026 00:45:00","EST","N.Y.C.",61761,5425.993
"02/11/2026 00:45:00","EST","NORTH",61755,681.8692
"02/11/2026 00:45:00","EST","WEST",61752,1575.7451
"02/11/2026 00:50:00","EST","CAPITL",61757,1466.4846
"02/11/2026 00:50:00","EST","CENTRL",61754,1816.2705
"02/11/2026 00:50:00","EST","DUNWOD",61760,654.3397
"02/11/2026 00:50:00","EST","GENESE",61753,1047.7266
"02/11/2026 00:50:00","EST","HUD VL",61758,1200.7737
"02/11/2026 00:50:00","EST","LONGIL",61762,2196.7568
