"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"02/11/2026 00:05:00","CAPITL",61757,80.46,3.97,0.00
"02/11/2026 00:05:00","CENTRL",61754,66.70,-2.45,7.34
"02/11/2026 00:05:00","DUNWOD",61760,79.39,2.91,0.00
"02/11/2026 00:05:00","GENESE",61753,49.86,-4.82,21.81
"02/11/2026 00:05:00","H Q",61844,77.33,0.84,0.00
"02/11/2026 00:05:00","HUD VL",61758,79.24,2.75,0.00
"02/11/2026 00:05:00","LONGIL",61762,79.24,2.75,0.00
"02/11/2026 00:05:00","MHK VL",61756,84.96,2.14,-6.33
"02/11/2026 00:05:00","MILLWD",61759,79.32,2.83,0.00
"02/11/2026 00:05:00","N.Y.C.",61761,79.47,2.98,0.00
"02/11/2026 00:05:00","NORTH",61755,79.24,2.75,0.00
"02/11/2026 00:05:00","NPX",61845,83.67,2.98,-4.20
"02/11/2026 00:05:00","O H",61846,40.01,-8.11,28.37
"02/11/2026 00:05:00","PJM",61847,41.18,-2.37,32.93
"02/11/2026 00:05:00","WEST",61752,37.80,-6.27,32.42
"02/11/2026 00:10:00","CAPITL",61757,71.70,3.61,0.00
"02/11/2026 00:10:00","CENTRL",61754,65.99,-2.11,0.00
"02/11/2026 00:10:00","DUNWOD",61760,70.54,2.45,0.00
"02/11/2026 00:10:00","GENESE",61753,64.08,-4.02,0.00
"02/11/2026 00:10:00","H Q",61844,68.78,0.68,0.00
"02/11/2026 00:10:00","HUD VL",61758,70.48,2.38,0.00
"02/11/2026 00:10:00","LONGIL",61762,70.41,2.32,0.00
"02/11/2026 00:10:00","MHK VL",61756,69.94,1.84,0.00
"02/11/2026 00:10:00","MILLWD",61759,70.48,2.38,0.00
"02/11/2026 00:10:00","N.Y.C.",61761,70.68,2.59,0.00
"02/11/2026 00:10:00","NORTH",61755,70.34,2.24,0.00
"02/11/2026 00:10:00","NPX",61845,74.89,2.59,-4.20
"02/11/2026 00:10:00","O H",61846,61.15,-6.95,0.00
"02/11/2026 00:10:00","PJM",61847,50.98,-2.04,15.07
"02/11/2026 00:10:00","WEST",61752,62.58,-5.51,0.00
"02/11/2026 00:15:00","CAPITL",61757,71.98,3.62,0.00
"02/11/2026 00:15:00","CENTRL",61754,66.24,-2.12,0.00
"02/11/2026 00:15:00","DUNWOD",61760,70.62,2.25,0.00
"02/11/2026 00:15:00","GENESE",61753,64.53,-3.83,0.01
"02/11/2026 00:15:00","H Q",61844,69.12,0.75,0.00
"02/11/2026 00:15:00","HUD VL",61758,70.55,2.19,0.00
"02/11/2026 00:15:00","LONGIL",61762,70.76,2.39,0.00
"02/11/2026 00:15:00","MHK VL",61756,70.14,1.77,0.00
"02/11/2026 00:15:00","MILLWD",61759,70.55,2.19,0.00
"02/11/2026 00:15:00","N.Y.C.",61761,70.69,2.33,0.00
"02/11/2026 00:15:00","NORTH",61755,70.76,2.39,0.00
"02/11/2026 00:15:00","NPX",61845,75.10,2.53,-4.20
"02/11/2026 00:15:00","O H",61846,61.79,-6.56,0.01
"02/11/2026 00:15:00","PJM",61847,51.17,-2.12,15.08
"02/11/2026 00:15:00","WEST",61752,63.16,-5.20,0.01
"02/11/2026 00:20:00","CAPITL",61757,80.53,3.98,0.00
"02/11/2026 00:20:00","CENTRL",61754,74.18,-2.37,0.00
"02/11/2026 00:20:00","DUNWOD",61760,78.85,2.29,0.00
"02/11/2026 00:20:00","GENESE",61753,72.11,-4.44,0.00
"02/11/2026 00:20:00","H Q",61844,77.55,0.99,0.00
"02/11/2026 00:20:00","HUD VL",61758,78.85,2.29,0.00
"02/11/2026 00:20:00","LONGIL",61762,78.93,2.38,0.00
"02/11/2026 00:20:00","MHK VL",61756,78.47,1.91,0.00
"02/11/2026 00:20:00","MILLWD",61759,78.77,2.22,0.00
"02/11/2026 00:20:00","N.Y.C.",61761,78.93,2.38,0.00
"02/11/2026 00:20:00","NORTH",61755,79.39,2.83,0.00
"02/11/2026 00:20:00","NPX",61845,131.75,2.75,-52.44
"02/11/2026 00:20:00","O H",61846,69.05,-7.50,0.00
"02/11/2026 00:20:00","PJM",61847,64.35,-2.52,9.68
"02/11/2026 00:20:00","WEST",61752,70.66,-5.89,0.00
"02/11/2026 00:25:00","CAPITL",61757,72.06,3.56,0.00
"02/11/2026 00:25:00","CENTRL",61754,67.14,-2.12,-0.77
"02/11/2026 00:25:00","DUNWOD",61760,70.62,2.13,0.00
"02/11/2026 00:25:00","GENESE",61753,61.98,-3.77,2.75
"02/11/2026 00:25:00","H Q",61844,69.32,0.82,0.00
"02/11/2026 00:25:00","HUD VL",61758,70.62,2.13,0.00
"02/11/2026 00:25:00","LONGIL",61762,70.69,2.19,0.00
"02/11/2026 00:25:00","MHK VL",61756,70.21,1.71,0.00
"02/11/2026 00:25:00","MILLWD",61759,70.55,2.05,0.00
"02/11/2026 00:25:00","N.Y.C.",61761,70.69,2.19,0.00
"02/11/2026 00:25:00","NORTH",61755,70.89,2.40,0.00
"02/11/2026 00:25:00","NPX",61845,123.48,2.54,-52.44
"02/11/2026 00:25:00","O H",61846,56.43,-6.37,5.69
"02/11/2026 00:25:00","PJM",61847,51.15,-2.12,15.23
"02/11/2026 00:25:00","WEST",61752,57.11,-5.00,6.39
"02/11/2026 00:30:00","CAPITL",61757,80.69,3.99,0.00
"02/11/2026 00:30:00","CENTRL",61754,74.40,-2.30,0.00
"02/11/2026 00:30:00","DUNWOD",61760,79.08,2.38,0.00
"02/11/2026 00:30:00","GENESE",61753,72.48,-4.22,0.00
"02/11/2026 00:30:00","H Q",61844,77.63,0.92,0.00
"02/11/2026 00:30:00","HUD VL",61758,79.00,2.30,0.00
"02/11/2026 00:30:00","LONGIL",61762,78.93,2.23,0.00
"02/11/2026 00:30:00","MHK VL",61756,78.62,1.92,0.00
"02/11/2026 00:30:00","MILLWD",61759,79.00,2.30,0.00
"02/11/2026 00:30:00","N.Y.C.",61761,79.16,2.45,0.00
"02/11/2026 00:30:00","NORTH",61755,79.39,2.68,0.00
"02/11/2026 00:30:00","NPX",61845,131.98,2.84,-52.44
"02/11/2026 00:30:00","O H",61846,69.56,-7.13,0.01
"02/11/2026 00:30:00","PJM",61847,64.63,-2.38,9.69
"02/11/2026 00:30:00","WEST",61752,71.17,-5.52,0.01
"02/11/2026 00:35:00","CAPITL",61757,86.19,4.34,0.00
"02/11/2026 00:35:00","CENTRL",61754,77.61,-2.54,1.71
"02/11/2026 00:35:00","DUNWOD",61760,84.47,2.62,0.00
"02/11/2026 00:35:00","GENESE",61753,67.36,-4.58,9.91
"02/11/2026 00:35:00","H Q",61844,82.84,0.99,0.00
"02/11/2026 00:35:00","HUD VL",61758,84.47,2.62,0.00
"02/11/2026 00:35:00","LONGIL",61762,84.47,2.62,0.00
"02/11/2026 00:35:00","MHK VL",61756,85.80,1.88,-2.06
"02/11/2026 00:35:00","MILLWD",61759,84.39,2.54,0.00
"02/11/2026 00:35:00","N.Y.C.",61761,84.55,2.70,0.00
"02/11/2026 00:35:00","NORTH",61755,84.72,2.86,0.00
